Gen,Gen ID
BnaC01g23800D,GSBRNA2T00035359001
BnaA09g47360D,GSBRNA2T00035399001
BnaA09g47340D,GSBRNA2T00035401001
BnaA09g47070D,GSBRNA2T00035437001
BnaA09g47050D,GSBRNA2T00035439001
BnaA09g46860D,GSBRNA2T00035460001
BnaA09g46780D,GSBRNA2T00035470001
BnaA09g46580D,GSBRNA2T00035494001
BnaA09g46260D,GSBRNA2T00035531001
BnaA06g13330D,GSBRNA2T00035584001
BnaC09g09050D,GSBRNA2T00035711001
BnaC09g09340D,GSBRNA2T00035751001
BnaA03g57160D,GSBRNA2T00035806001
BnaA06g39380D,GSBRNA2T00036252001
BnaA02g18610D,GSBRNA2T00036494001
BnaA05g17940D,GSBRNA2T00036635001
BnaC09g36490D,GSBRNA2T00036664001
BnaA02g11130D,GSBRNA2T00036916001
BnaA02g11200D,GSBRNA2T00036927001
BnaA02g11210D,GSBRNA2T00036929001
BnaA08g07690D,GSBRNA2T00036968001
BnaA09g36120D,GSBRNA2T00037061001
BnaA09g35870D,GSBRNA2T00037087001
BnaA09g35800D,GSBRNA2T00037096001
BnaA09g35560D,GSBRNA2T00037120001
BnaA09g35550D,GSBRNA2T00037121001
BnaA09g35510D,GSBRNA2T00037127001
BnaC04g50320D,GSBRNA2T00037314001
BnaC04g50300D,GSBRNA2T00037317001
BnaC04g50290D,GSBRNA2T00037318001
BnaC04g50270D,GSBRNA2T00037324001
BnaC03g64520D,GSBRNA2T00037375001
BnaC03g64870D,GSBRNA2T00037439001
BnaAnng18230D,GSBRNA2T00037465001
BnaA06g03370D,GSBRNA2T00037670001
BnaAnng18410D,GSBRNA2T00037730001
BnaA08g31180D,GSBRNA2T00037779001
BnaCnng41300D,GSBRNA2T00037873001
BnaAnng18690D,GSBRNA2T00038040001
BnaA09g28160D,GSBRNA2T00038332001
BnaA09g28100D,GSBRNA2T00038341001
BnaA05g31220D,GSBRNA2T00038508001
BnaA05g31230D,GSBRNA2T00038509001
BnaCnng05250D,GSBRNA2T00038850001
BnaC05g43860D,GSBRNA2T00038908001
BnaC05g44490D,GSBRNA2T00038987001
BnaC06g02740D,GSBRNA2T00039051001
BnaCnng42100D,GSBRNA2T00039289001
